@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9}

@data
1,'2018/04/30 13:08:55:193',5,-9.41861,64.50882,3.673767,-35.875275,0.177429,-13.878723,-51.950378,30.892914,-5.081146,-33.562927,51.710876,0.456196,-58.037964,16.649292,24.768326,-48.520782,4.437042,5.725689,-55.147003,4.665894,15.695087,-57.393433,9.98114,21.156898,-10.072815,60.492218,0.690567,-7.543243,-0.074829,6.017166,-9.95752,42.196472,9.785336,-10.465759,60.770996,5.065502,22.494598,54.06897,0.302456,33.847717,-3.497253,4.69194,31.268066,34.408234,8.97361,25.565125,53.275024,4.631565,115.767761,2.929932,18.264278,71.543945,-2.850494,2.793571,95.355927,-5.315613,10.445431,107.394348,-3.274994,14.713589,1
2,'2018/04/30 13:08:55:209',5,-8.761566,64.490265,3.596096,-35.877777,0.014191,-13.878693,-51.858673,30.864136,-5.107883,-33.198547,51.722961,0.405552,-57.981079,17.115234,24.74036,-48.495422,4.58902,5.721561,-55.168274,4.88382,15.690365,-57.395569,10.297852,21.146236,-9.763306,60.633514,0.677334,-7.542053,0.026855,6.017212,-9.659637,42.31131,9.778927,-10.104919,60.859528,5.052528,22.800842,54.144653,0.29665,33.830109,-3.471039,4.695137,31.480743,34.452026,8.969139,25.880341,53.319855,4.625298,115.738068,3.003693,18.251534,71.529175,-2.903595,2.796066,95.342316,-5.39505,10.447334,107.393646,-3.332184,14.714249,1
3,'2018/04/30 13:08:55:227',5,-8.324188,64.431976,3.648094,-35.537354,0.382111,-13.892042,-51.730896,31.089722,-5.096146,-32.938995,51.803772,0.444336,-58.417847,16.680511,24.743568,-48.603058,4.547913,5.709324,-55.484924,4.667358,15.676136,-57.799744,9.94696,21.139664,-9.359619,60.675812,0.746124,-7.689148,-0.092285,6.014263,-9.582611,42.122223,9.826618,-9.791809,60.757874,5.121513,23.156891,54.157471,0.371624,33.690582,-3.633423,4.703133,31.492706,34.214966,9.019569,26.130096,53.187317,4.699551,115.427887,2.565674,18.285896,71.439728,-3.090118,2.819214,95.12326,-5.731201,10.473633,107.125732,-3.753723,14.745224,1
4,'2018/04/30 13:08:55:242',5,-8.196442,64.404602,3.686104,-35.300476,0.646362,-13.900867,-51.737976,31.245789,-5.08849,-32.904968,51.864929,0.471909,-58.684662,16.393219,24.746914,-48.684021,4.493835,5.701214,-55.674652,4.53363,15.666885,-58.040985,9.72757,21.135197,-9.160522,60.658234,0.775524,-7.791351,-0.186768,6.012066,-9.591583,41.997009,9.846325,-9.65976,60.671722,5.150845,23.316254,54.147034,0.406147,33.598267,-3.741547,4.708149,31.438477,34.075043,9.042271,26.213104,53.098694,4.733746,115.227203,2.379822,18.308136,71.381073,-3.199188,2.834785,94.987427,-5.882263,10.492012,106.956512,-3.936646,14.76598,1
5,'2018/04/30 13:08:55:260',5,-7.943451,64.371552,3.71648,-34.962646,0.982178,-13.912973,-51.801971,31.468414,-5.087944,-32.858154,51.966797,0.494431,-58.940796,16.16806,24.748207,-48.788849,4.466217,5.688557,-55.881714,4.487549,15.653099,-58.28714,9.589447,21.126556,-8.753876,60.608612,0.783009,-7.936615,-0.291748,6.008835,-9.46167,41.88147,9.852203,-9.315063,60.562012,5.158199,23.648468,54.125031,0.431858,33.459137,-3.892914,4.715946,31.42804,33.907318,9.059944,26.43576,52.973816,4.758942,114.944031,2.257263,18.335175,71.290192,-3.379486,2.857346,94.789398,-6.046692,10.520069,106.713745,-4.098175,14.79591,1
6,'2018/04/30 13:08:55:276',5,-7.97879,64.357208,3.718086,-34.636566,1.163818,-13.924835,-51.977844,31.600128,-5.104225,-33.02597,52.038696,0.491413,-59.25,16.07486,24.744789,-48.893127,4.484497,5.673649,-56.10144,4.545746,15.63689,-58.564606,9.578918,21.113922,-8.415649,60.562317,0.761078,-8.076447,-0.336365,6.005779,-9.356171,41.852905,9.839512,-9.026611,60.495178,5.136147,23.929199,54.103577,0.431011,33.327606,-3.986145,4.725628,31.395508,33.827454,9.063046,26.611755,52.893158,4.758121,114.743469,2.305115,18.356926,71.204071,-3.510864,2.880905,94.636719,-6.101654,10.54845,106.537445,-4.116638,14.824268,1
7,'2018/04/30 13:08:55:292',5,-8.252533,64.303467,3.732071,-34.228088,1.353607,-13.939539,-52.242462,31.69458,-5.11948,-33.383942,52.067261,0.496071,-59.790253,15.820953,24.74128,-49.040283,4.467041,5.654633,-56.443359,4.512238,15.615646,-59.022186,9.442078,21.097717,-8.20813,60.479858,0.750446,-8.251801,-0.396362,6.001823,-9.395203,41.788483,9.839279,-8.893707,60.386902,5.125313,24.101563,54.069489,0.443672,33.175201,-4.071045,4.737839,31.244385,33.733398,9.080242,26.655396,52.794922,4.770847,114.566406,2.31665,18.385349,71.106689,-3.610962,2.910606,94.49295,-6.14975,10.581451,106.381409,-4.153809,14.857487,1
8,'2018/04/30 13:08:55:309',5,-8.488342,64.263519,3.727997,-33.880371,1.465454,-13.952099,-52.48645,31.759613,-5.141174,-33.711212,52.094147,0.487366,-60.179749,15.681335,24.73671,-49.157318,4.495453,5.637314,-56.69986,4.550781,15.596691,-59.356995,9.40155,21.082588,-7.94519,60.425415,0.735641,-8.400452,-0.417572,5.998512,-9.363312,41.766724,9.837105,-8.691345,60.311676,5.110325,24.332062,54.042542,0.448738,33.039948,-4.134399,4.749168,31.172546,33.66864,9.092781,26.776825,52.714417,4.775894,114.549713,2.341858,18.403877,71.018005,-3.709412,2.936584,94.419983,-6.181976,10.608032,106.339691,-4.176331,14.882423,1
9,'2018/04/30 13:08:55:327',5,-8.595367,64.235413,3.717453,-33.714386,1.519897,-13.958015,-52.678345,31.805969,-5.157284,-33.922333,52.118958,0.477119,-60.326202,15.619324,24.741676,-49.193573,4.567627,5.628746,-56.792175,4.657898,15.58744,-59.478943,9.441559,21.07679,-7.595154,60.379578,0.712143,-8.470428,-0.406555,5.997021,-9.15155,41.788696,9.82906,-8.34671,60.269012,5.086815,24.642181,54.005981,0.437382,32.961517,-4.18512,4.754902,31.266998,33.631989,9.091969,27.032623,52.648193,4.764435,114.776917,2.361084,18.401363,70.962311,-3.816589,2.949005,94.468933,-6.207947,10.617062,106.477295,-4.192322,14.887283,1
10,'2018/04/30 13:08:55:344',5,-8.846954,64.230652,3.679413,-33.474854,1.452271,-13.967468,-52.874878,31.786041,-5.191895,-34.216217,52.127441,0.441147,-60.642822,15.5979,24.738865,-49.267853,4.661499,5.613766,-56.976166,4.804504,15.571102,-59.734772,9.524078,21.063366,-7.357483,60.38916,0.681229,-8.572205,-0.353119,5.994976,-9.075623,41.862732,9.813213,-8.142822,60.279114,5.055805,24.861511,54.021057,0.420715,32.864227,-4.184845,4.76543,31.260406,33.659943,9.087925,27.178772,52.638977,4.74791,114.940338,2.460968,18.408905,70.896576,-3.870026,2.969296,94.48233,-6.160156,10.635487,106.564453,-4.1297,14.902012,1
