@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
216,'2018/04/20 11:26:43:227',2,11.742096,48.46283,7.314869,-12.815735,17.46106,-13.168747,-39.484741,31.437164,-2.902225,-20.438171,42.405151,4.061295,-83.536926,-14.382965,22.888626,-54.752136,-4.241425,4.116547,-70.108856,-13.119019,13.567345,-78.273804,-15.2435,19.014511,-13.680969,43.389862,-0.326519,-16.005554,-7.969818,5.102718,-27.451202,32.543121,9.419514,-20.465515,45.999237,3.867668,13.490723,40.362183,-0.689213,25.315308,-8.621674,4.757839,13.382813,28.601563,8.891857,11.335602,42.634857,3.568233,72.448669,-0.138031,20.468506,63.205048,-4.932129,4.123779,70.745361,-7.098663,12.195465,72.374054,-4.438995,16.646606,1
217,'2018/04/20 11:26:43:356',2,8.413879,49.320984,7.662346,-13.680756,17.592529,-13.144188,-39.212738,31.983582,-2.868336,-21.822845,43.040497,4.15387,-83.811554,-9.949554,23.079624,-54.462189,-4.098877,4.185101,-70.153015,-10.436859,13.754349,-78.464081,-11.40802,19.218525,-11.680969,42.082184,-1.209297,-15.683929,-7.955139,5.11972,-25.160004,33.93219,8.612606,-18.133606,46.325317,2.908974,14.443481,39.195038,-1.422581,25.597321,-8.733795,4.72134,14.37384,29.507751,8.263039,12.376129,42.583801,2.788918,71.230927,0.46582,20.420132,63.478363,-5.158386,4.040035,69.839081,-6.331116,12.140385,71.331146,-3.833862,16.598148,1
218,'2018/04/20 11:26:43:362',2,8.413879,49.320984,7.662346,-13.680756,17.592529,-13.144188,-39.212738,31.983582,-2.868336,-21.822845,43.040497,4.15387,-83.811554,-9.949554,23.079624,-54.462189,-4.098877,4.185101,-70.153015,-10.436859,13.754349,-78.464081,-11.40802,19.218525,-11.680969,42.082184,-1.209297,-15.683929,-7.955139,5.11972,-25.160004,33.93219,8.612606,-18.133606,46.325317,2.908974,14.443481,39.195038,-1.422581,25.597321,-8.733795,4.72134,14.37384,29.507751,8.263039,12.376129,42.583801,2.788918,71.230927,0.46582,20.420132,63.478363,-5.158386,4.040035,69.839081,-6.331116,12.140385,71.331146,-3.833862,16.598148,1
219,'2018/04/20 11:26:43:391',2,8.413879,49.320984,7.662346,-13.680756,17.592529,-13.144188,-39.212738,31.983582,-2.868336,-21.822845,43.040497,4.15387,-83.811554,-9.949554,23.079624,-54.462189,-4.098877,4.185101,-70.153015,-10.436859,13.754349,-78.464081,-11.40802,19.218525,-11.680969,42.082184,-1.209297,-15.683929,-7.955139,5.11972,-25.160004,33.93219,8.612606,-18.133606,46.325317,2.908974,14.443481,39.195038,-1.422581,25.597321,-8.733795,4.72134,14.37384,29.507751,8.263039,12.376129,42.583801,2.788918,71.230927,0.46582,20.420132,63.478363,-5.158386,4.040035,69.839081,-6.331116,12.140385,71.331146,-3.833862,16.598148,1
220,'2018/04/20 11:26:43:437',2,7.572693,49.64093,7.597969,-15.090057,16.964478,-13.171658,-39.816498,31.677063,-2.893486,-22.470428,43.069031,4.09687,-82.804047,-8.454163,23.212109,-54.022583,-4.030945,4.277233,-69.395599,-9.587097,13.88483,-77.553802,-10.184845,19.355953,-12.111847,42.00238,-1.363842,-15.123108,-7.757568,5.164837,-24.580627,34.34613,8.491985,-18.214478,46.508179,2.745316,13.944122,39.184052,-1.589169,26.124176,-8.461609,4.707207,14.876282,29.963257,8.121391,12.238647,42.78418,2.613892,73.269745,1.158508,20.325626,63.904419,-4.832397,3.959476,71.014099,-5.698242,12.052505,72.989471,-3.182007,16.506664,1
221,'2018/04/20 11:26:43:441',2,-100.901978,4.112823,9.623253,-54.359375,21.603394,-10.940643,-105.870178,0.643494,-3.207169,-112.193115,-1.198792,4.59288,-94.870911,-4.316467,17.073357,-31.819885,-22.982239,4.009865,-62.142212,-31.149231,12.920143,-84.370728,-19.07489,16.68354,-59.664734,32.551605,5.42379,5.40332,-15.441254,4.31881,-39.654663,4.180298,12.533287,-58.845215,24.84198,9.298141,-35.20575,36.714905,3.191666,38.85022,-3.562225,3.594414,-0.634094,17.020172,11.015747,-28.158936,32.41098,7.26445,0.597168,30.990112,4.703133,64.301086,10.957947,2.972816,46.740417,24.514893,10.045898,16.521057,30.693207,8.137611,1
222,'2018/04/20 11:26:43:487',2,9.820801,50.08551,7.477295,-14.204773,16.309784,-13.238556,-37.696198,32.027405,-3.008213,-20.145813,43.633606,3.952084,-85.407654,-6.70105,23.189873,-54.206482,-3.008789,4.293423,-70.915863,-7.947998,13.887215,-79.757294,-8.427826,19.342453,-9.872498,42.038025,-1.480858,-15.523102,-7.210938,5.195713,-22.705719,35.159485,8.397785,-15.707886,46.904907,2.608582,16.08136,38.856537,-1.687378,25.66803,-8.511536,4.740677,16.559631,30.198029,8.051983,14.592773,42.745239,2.500874,74.523041,0.289673,20.342491,63.630524,-5.452148,3.978043,71.196381,-6.350403,12.064392,73.685059,-3.971954,16.519257,1
223,'2018/04/20 11:26:43:488',2,-137.659485,-19.794342,2.271755,-14.803406,20.854126,-12.823132,-78.611328,-4.376343,-7.791203,-117.644836,-16.461929,-2.430031,-134.523865,-10.588364,16.400955,-39.509033,-24.189606,1.987411,-84.758789,-22.986237,10.101891,-113.119629,-18.154526,14.221184,-131.177917,17.723267,13.580482,-7.823853,-15.601059,4.223961,-68.248169,-10.623215,12.26545,-108.506348,4.722778,13.956535,-76.526123,32.239136,10.131805,23.408813,-2.709961,5.317451,-24.724487,4.897644,13.447357,-62.952271,21.752625,13.093132,-29.762878,31.911072,11.972305,46.739624,12.575531,6.076809,23.49646,16.095337,13.634468,-7.779602,24.74942,14.209846,1
224,'2018/04/20 11:26:43:508',2,9.927948,50.204224,7.469826,-13.604523,16.19104,-13.257507,-37.142395,32.140442,-3.051285,-19.839935,43.785126,3.914696,-87.013184,-6.688049,23.132538,-54.365662,-2.754333,4.272598,-71.818024,-7.713623,13.845047,-81.078461,-8.301849,19.288742,-9.234589,42.011261,-1.501545,-15.769867,-7.086792,5.194775,-22.437439,35.329346,8.376366,-15.108521,46.968933,2.580208,16.698639,38.75531,-1.689968,25.413116,-8.544464,4.758396,16.786652,30.213013,8.054775,15.152893,42.705994,2.494335,74.572571,-0.520691,20.384453,63.440125,-5.63443,4.009567,71.050354,-6.83429,12.092815,73.641113,-4.66333,16.553391,1
225,'2018/04/20 11:26:43:510',2,-27.380981,17.576996,9.932846,66.53772,30.67337,-8.188904,16.256836,45.966248,0.448402,-13.178101,32.822815,6.559292,56.933411,-17.592514,15.148911,-15.696594,13.595398,7.036255,4.579407,-10.368851,14.493576,33.542847,-22.190094,17.519135,84.514771,-24.940552,20.779205,-27.070862,-3.245117,4.679916,29.290222,-14.203339,12.811554,62.541138,-20.668243,17.60891,58.950378,-42.426758,18.105629,-29.41394,-18.822937,1.278252,13.940247,-30.403687,9.534286,40.820618,-37.583954,14.653145,-33.76416,-55.111145,13.795532,-22.63269,-33.353729,-1.847382,-28.087708,-44.015869,5.818371,-31.105042,-49.913605,10.058655,1
